CONTA;IC1;TIPO1;IC2;TIPO2;IC3;TIPO3;IC4;TIPO4;IC5;TIPO5;IC6;TIPO6;IC7;TIPO7;VALOR;TIPO_VALOR;NATUREZA_VALOR;MUNICIPIO;ANO;MES
332319900;20231;PO;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;5625.0;period_change;D;1702109EX;2021;02
332319900;20231;PO;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;5625.0;ending_balance;D;1702109EX;2021;02
353110100;20231;PO;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;4500.0;beginning_balance;D;1702109EX;2021;02
353110100;20231;PO;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;4500.0;period_change;D;1702109EX;2021;02
353110100;20231;PO;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;9000.0;ending_balance;D;1702109EX;2021;02
445110000;20231;PO;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;42.61;beginning_balance;C;1702109EX;2021;02
445110000;20231;PO;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;38.13;period_change;C;1702109EX;2021;02
445110000;20231;PO;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;80.74;ending_balance;C;1702109EX;2021;02
451120100;20231;PO;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;1310420.74;beginning_balance;C;1702109EX;2021;02
451120100;20231;PO;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;1310420.74;period_change;C;1702109EX;2021;02
451120100;20231;PO;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;2620841.48;ending_balance;C;1702109EX;2021;02
511100000;20231;PO;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;18832260.0;beginning_balance;D;1702109EX;2021;02
511100000;20231;PO;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;18832260.0;ending_balance;D;1702109EX;2021;02
521110000;10131;PO;10010000.0;FR;21190011.0;NR;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;period_change;D;1702109EX;2021;02
521110000;10131;PO;10010000.0;FR;21190011.0;NR;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;ending_balance;C;1702109EX;2021;02
521110000;10131;PO;10010000.0;FR;21290011.0;NR;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;period_change;D;1702109EX;2021;02
521110000;10131;PO;10010000.0;FR;21290011.0;NR;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;ending_balance;C;1702109EX;2021;02
622130400;20231;PO;1031.0;FS;10010000.0;FR;33903943.0;ND;0.0;0.0;0.0;0;0.0;0.0;10647.31;ending_balance;C;1702109EX;2021;02
622130400;20231;PO;1031.0;FS;10010000.0;FR;31901101.0;ND;0.0;0.0;0.0;0;0.0;0.0;987660.22;ending_balance;C;1702109EX;2021;02
622130400;20231;PO;1031.0;FS;10010000.0;FR;31901107.0;ND;0.0;0.0;0.0;0;0.0;0.0;6302.05;ending_balance;C;1702109EX;2021;02
